#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
abc1                 -             94 abc1                 -             97   2.7e-52  168.8   0.3   1   1   1.6e-54   2.9e-52  168.6   0.3     1    94     1    94     1    94 0.99 -
abc2                 -             97 abc2                 -             97   1.1e-62  201.8   0.4   1   1   6.7e-65   1.3e-62  201.7   0.4     1    97     1    97     1    97 0.99 -
aca10                -             65 aca10                -             65   3.5e-35  113.0   0.3   1   1   9.5e-37   3.6e-35  113.0   0.3     3    62     3    62     1    65 0.94 -
aca6                 -             65 aca10                -             65   6.8e-08   25.6   1.2   1   1   2.6e-09   9.6e-08   25.1   1.2    10    44     3    37     1    40 0.93 -
aca9                 -             69 aca10                -             65   6.5e-07   22.4   0.1   1   1   1.8e-08   6.9e-07   22.4   0.1    11    52     6    47     1    58 0.88 -
aca11                -             63 aca11                -             64   7.4e-36  115.5   1.7   1   1   2.1e-37     8e-36  115.4   1.7     1    62     1    62     1    63 0.99 -
acriia15             -            170 aca11                -             64   3.5e-17   55.7   0.8   1   1   9.4e-19   3.5e-17   55.7   0.8     6    61     3    59     1    62 0.92 -
acriia14             -            159 aca11                -             64     3e-13   43.1   2.2   1   1   1.7e-14   6.4e-13   42.0   2.2     6    62     3    60     1    62 0.89 -
aca12                -            140 aca11                -             64   1.2e-11   38.0   0.3   1   1   5.5e-13   2.1e-11   37.2   0.3     1    51     1    53     1    57 0.90 -
acriia29             -            241 aca11                -             64   6.2e-10   32.5   0.3   1   1   1.7e-11   6.2e-10   32.5   0.3     5    62     4    63     2    65 0.91 -
aca12                -            140 aca12                -            140   9.6e-73  236.0   6.5   1   1   2.3e-74   1.1e-72  235.8   6.5     1   140     1   140     1   140 1.00 -
aca11                -             63 aca12                -            140   2.4e-08   27.3   0.3   1   1   5.8e-10   2.7e-08   27.1   0.3     1    56     1    54     1    60 0.92 -
acriia14             -            159 aca12                -            140   1.5e-07   24.7   0.3   1   1   5.8e-09   2.7e-07   23.9   0.3    11    60     7    56     2    86 0.85 -
acriia15             -            170 aca12                -            140   3.5e-06   20.3   7.9   1   1   7.5e-08   3.5e-06   20.3   7.9    12    58     8    54     2   143 0.82 -
aca13                -             59 aca13                -             61   3.6e-29   94.0   7.2   1   1     4e-31   3.8e-29   93.9   7.2     1    59     1    59     1    59 0.95 -
acriia32             -            141 aca13                -             61     3e-25   81.4   8.9   1   1   1.2e-26   1.1e-24   79.6   8.9     6    57    90   141    84   141 0.95 -
aca1                 -             79 aca1                 -             72   3.3e-39  126.6   0.1   1   1   3.9e-41   3.6e-39  126.4   0.1     2    70     8    76     7    78 0.97 -
acrif24              -            228 aca1                 -             72   2.3e-06   21.3   0.0   1   1   4.4e-08   4.1e-06   20.5   0.0    15    58   167   213   153   224 0.79 -
aca2                 -            125 aca2                 -            117   3.4e-53  172.5   0.1   1   1   4.1e-55   3.8e-53  172.3   0.1     1   116     1   116     1   117 0.99 -
aca10                -             65 aca2                 -            117   1.1e-06   22.5   0.3   1   1   1.3e-08   1.2e-06   22.4   0.3     5    41    10    45     7    52 0.79 -
aca3                 -             70 aca3                 -             69   9.4e-31   99.8   0.0   1   1   1.7e-32   1.1e-30   99.7   0.0     2    67     4    70     3    70 0.96 -
aca6                 -             65 aca3                 -             69   1.1e-06   22.8   0.0   1   1   1.9e-08   1.2e-06   22.6   0.0    14    49     4    39     2    50 0.89 -
